module,loc,screens,risk,score
apps/petstore,18460,67,high,10
apps/opc,5212,1,high,8
apps/admin,5497,4,high,7
apps/supplier,4097,7,medium,6
components/purchaseorder,2366,0,high,9
components/customer,2385,0,high,8
components/signon,1559,0,high,8
components/cart,829,0,high,7
components/creditcard,769,0,high,7
components/catalog,2866,0,medium,6
components/supplierpo,1924,0,medium,6
components/processmanager,1322,0,medium,5
components/contactinfo,1266,0,medium,5
components/xmldocuments,2042,0,medium,5
components/address,992,0,low,3
components/lineitem,820,0,low,3
components/mailer,840,0,low,3
components/asyncsender,549,0,low,2
components/servicelocator,758,0,low,2
components/uidgen,756,0,low,2
components/util,181,0,low,1
components/encodingfilter,180,0,low,1
